Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,I2C_SDA,SERCOM1_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
2,PA01,I2C_SCL,SERCOM1_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
3,PC00,PD_IRQ,EIC_EXTINT0,Digital,High Impedance,n/a,No,No,NORMAL
4,PC01,LED_control,GPIO,Digital,Out,Low,,,NORMAL
5,PC02,,Available,,,,,,NORMAL
6,PC03,,Available,,,,,,NORMAL
7,PA02,,Available,,,,,,NORMAL
8,PA03,,Available,,,,,,NORMAL
9,PB04,,Available,,,,,,NORMAL
10,PB05,,Available,,,,,,NORMAL
13,PB06,,Available,,,,,,NORMAL
14,PB07,PM_EN,GPIO,Digital,Out,Low,,,STRONG
15,PB08,BLDC_EN,GPIO,Digital,Out,Low,,,STRONG
16,PB09,SM_EN,GPIO,Digital,Out,Low,,,STRONG
17,PA04,SPI_DO,SERCOM0_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
18,PA05,SPI_SCK,SERCOM0_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
19,PA06,SPI_CS,SERCOM0_PAD2,Digital,High Impedance,n/a,No,No,NORMAL
20,PA07,SPI_DI,SERCOM0_PAD3,Digital,High Impedance,n/a,No,No,NORMAL
21,PC05,,Available,,,,,,NORMAL
22,PC06,,Available,,,,,,NORMAL
23,PC07,,Available,,,,,,NORMAL
26,PA08,,Available,,,,,,NORMAL
27,PA09,,Available,,,,,,NORMAL
28,PA10,,Available,,,,,,NORMAL
29,PA11,,Available,,,,,,NORMAL
32,PB10,,Available,,,,,,NORMAL
33,PB11,,Available,,,,,,NORMAL
34,PB12,SM_RX,SERCOM4_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
35,PB13,SM_TX,SERCOM4_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
36,PB14,BLDC_FAULT,EIC_EXTINT14,Digital,High Impedance,n/a,No,No,NORMAL
37,PB15,,Available,,,,,,NORMAL
40,PC10,,Available,,,,,,NORMAL
41,PC11,,Available,,,,,,NORMAL
42,PC12,,Available,,,,,,NORMAL
43,PC13,,Available,,,,,,NORMAL
44,PC14,,Available,,,,,,NORMAL
45,PC15,,Available,,,,,,NORMAL
46,PA12,,Available,,,,,,NORMAL
47,PA13,,Available,,,,,,NORMAL
48,PA14,,Available,,,,,,NORMAL
49,PA15,,Available,,,,,,NORMAL
52,PA16,,Available,,,,,,NORMAL
53,PA17,,Available,,,,,,NORMAL
54,PA18,,Available,,,,,,NORMAL
55,PA19,,Available,,,,,,NORMAL
56,PC16,,Available,,,,,,NORMAL
57,PC17,,Available,,,,,,NORMAL
58,PC18,,Available,,,,,,NORMAL
59,PC19,,Available,,,,,,NORMAL
60,PC20,,Available,,,,,,NORMAL
61,PC21,,Available,,,,,,NORMAL
64,PB16,,SDHC1_SDCD,Digital,High Impedance,n/a,No,No,NORMAL
65,PB17,,Available,,,,,,NORMAL
66,PB18,,SDHC1_SDDAT0,Digital,High Impedance,n/a,No,No,NORMAL
67,PB19,,SDHC1_SDDAT1,Digital,High Impedance,n/a,No,No,NORMAL
68,PB20,,SDHC1_SDDAT2,Digital,High Impedance,n/a,No,No,NORMAL
69,PB21,,SDHC1_SDDAT3,Digital,High Impedance,n/a,No,No,NORMAL
70,PA20,,SDHC1_SDCMD,Digital,High Impedance,n/a,No,No,NORMAL
71,PA21,,SDHC1_SDCK,Digital,High Impedance,n/a,No,No,NORMAL
72,PA22,,SERCOM3_PAD0,Digital,High Impedance,n/a,No,No,NORMAL
73,PA23,,SERCOM3_PAD1,Digital,High Impedance,n/a,No,No,NORMAL
74,PA24,,USB_DM,Digital,High Impedance,n/a,No,No,NORMAL
75,PA25,,USB_DP,Digital,High Impedance,n/a,No,No,NORMAL
78,PB22,,OSCCTRL_XIN1,Digital,High Impedance,n/a,No,No,NORMAL
79,PB23,,PDEC_QDI0,Digital,High Impedance,n/a,No,No,NORMAL
80,PB24,,PDEC_QDI1,Digital,High Impedance,n/a,No,No,NORMAL
81,PB25,,PDEC_QDI2,Digital,High Impedance,n/a,No,No,NORMAL
82,PC24,Input_SEL,EIC_EXTINT8,Digital,High Impedance,n/a,No,No,NORMAL
83,PC25,,Available,,,,,,NORMAL
84,PC26,ENC_SEL,EIC_EXTINT10,Digital,High Impedance,n/a,No,No,NORMAL
85,PC27,Servo_EN,GPIO,Digital,Out,Low,,,STRONG
86,PC28,ENC_A,EIC_EXTINT12,Digital,High Impedance,n/a,No,No,NORMAL
87,PA27,ENC_B,EIC_EXTINT11,Digital,High Impedance,n/a,No,No,NORMAL
93,PA30,,Available,,,,,,NORMAL
94,PA31,,Available,,,,,,NORMAL
95,PB30,,Available,,,,,,NORMAL
96,PB31,,Available,,,,,,NORMAL
97,PB00,,Available,,,,,,NORMAL
98,PB01,Output_SEL,EIC_EXTINT1,Digital,High Impedance,n/a,No,No,NORMAL
99,PB02,,Available,,,,,,NORMAL
100,PB03,,Available,,,,,,NORMAL
