Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C14, C2, C24, C29, C3, C30, C31, C33, C34, C37, C4, C41, C43, C44, C47, C48, C49, C5, C50, C52, C53, C55, C6, C7, C8, C9",0603,28,0.1uF,
"C10, C18, C25",CAPAE660X600N,3,22uF,
C12,CP_EIA-3528-12_Kemet-T,1,100uF,
"C13, C17",0603,2,1uF,
"C15, C16",0603,2,330pF,
"C19, C51, C54",0603,3,10uF,
"C20, C38, C39",0603,3,100nF,
"C21, C26",0603,2,1nF,
"C22, C27",0603,2,100pF,
"C23, C28, C32, C45",CAPAE660X600N,4,100uF,
"C35, C42",CAPAE660X600N,2,10uF,
C36,CP_EIA-2012-12_Kemet-R,1,10uF,
"C40, C46",0603,2,4.7uf,
"D1, D2, D3, D4, D5, D9",0603,6,LED,
"D10, D8",D_SMB,2,10BQ040,
D6,D_SOD-123,1,BZT52B12,
D7,SOT-23-6,1,ESDA6V1BC6,
J10,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J11,CONN_532610001-SD_03_MOL,1,532610371,
J12,CONN_1984620_PXC,1,1984620,
"J13, J6",PHOENIX_1984617,2,1984617,
J14,AMPHENOL_10067099-200LF,1,10067099-200LF,
J15,PinHeader_1x03_P2.54mm_Vertical,1,Servo1,
J16,PinHeader_1x03_P2.54mm_Vertical,1,Servo2,
J17,PinHeader_1x03_P2.54mm_Vertical,1,Servo3,
J18,PinHeader_1x03_P2.54mm_Vertical,1,Servo4,
J19,PinHeader_1x03_P2.54mm_Vertical,1,Servo5,
J2,PinSocket_1x06_P2.54mm_Vertical,1,SPI header,
J20,PinHeader_1x03_P2.54mm_Vertical,1,Servo6,
J3,PinSocket_1x04_P2.54mm_Vertical,1,I2C header,
"J4, PDED1",PinSocket_1x03_P2.54mm_Vertical,2,UART header,
J5,PinSocket_1x04_P2.54mm_Vertical,1,OLED header,
J7,USBC_CONN_8p94X6p5X3p16_12L_GCC,1,USB4215-03-A,
J8,JST_B4B-XH-A,1,B4B-XH-A,
J9,PHOENIX_1984633,1,~,
"JP1, JP10, JP11, JP12, JP2, JP3, JP4, JP5, JP6, JP7, JP8, JP9",TestPoint_2Pads_Pitch2.54mm_Drill0.8mm,12,NPC02SXON-RC,
JP13,Jumper_2_NO,1,~,
L1,IND_VLS6045EX-220M,1,22uH,
L2,INDPM7967X540N,1,MPLCV0654L220,
L3,0805,1,10uH,
"MOSFET1, MOSFET2",TSOT23-6_419BL_ONS,2,FDC5614P,
"Q1, Q2, Q3, Q4",SOT23-3,4,SL2302B,
Q5,SOIC127P600X175-8N,1,SI4447ADY-T1-GE3,
"R1, R10, R11, R12, R13, R14, R15, R16, R37, R42, R44, R48, R51, R54, R55, R58, R59, R61, R66, R68, R69, R8, R9",0603,23,10k,
"R17, R18, R20, R46, R47, R49, R50, R63, R64",0603,9,100k,
"R19, R21",0603,2,5k,
"R2, R52",0603,2,330,
"R22, R38, R39, R40",0603,4,100,
"R23, R3, R41",0603,3,1K,
"R24, R29",0603,2,270,
"R25, R30",0603,2,76k,
"R26, R31",0603,2,60k,
"R27, R32",0603,2,20k,
R28,TRIM_TC33X-2-204E,1,200k,
"R33, R34, R35, R36",0603,4,170,
"R4, R5, R6, R7",0603,4,200,
R43,0603,1,47k,
R45,0603,1,1.5k,
S1,SMT_FS,1,Reset,
S4,SMT_FS,1,input,
S6,SMT_FS,1,Output,
"TP1, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP28, TP29, TP30, TP31, TP32, TP33, TP34, TP35, TP36, TP37, TP38, TP39, TP4, TP40, TP41, TP42, TP43, TP44, TP45, TP46, TP47, TP48, TP49, TP50, TP51, TP52, TP6, TP7, TP8",KEYSTONE_1031,48,TestPoint,
U1,QFP50P1600X1600X120-100N,1,ATSAMD51N20A-AUT,
"U10, U7, U8, U9",11-5B201S_TOS,4,TLP3555ATP1_F,
U11,TSOT23-6_419BL_ONS,1,NC7WZ14P6X,
U12,MODULE_TMC2208_SILENTSTEPSTICK,1,TMC2208_SILENTSTEPSTICK,
U13,Texas_RRW0024A_WQFN-24-1EP_3x3mm_P0.4mm_EP1.9x1.9mm_ThermalVias,1,DRV8311H,
U14,WSON8_DSG_TEX,1,DRV8231ADSG,
U15,RIC1131S10K2GSMT,1,RIC11-31S10K2-GSMT,
U2,WQFN-14-1EP_2.5x2.5mm_P0.5mm_EP1.45x1.45mm,1,FUSB302BMPX,
U3,IC_TPS2121RUXR,1,TPS2121RUXR,
U4,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
"U5, U6",SOP65P490X110-8N,2,LM3489MMX_NOPB,
Y1,OSC_ECS-2333-160-BN-TR,1,ECS-2333-160-BN-TR,
