Designator,Mid X,Mid Y,Rotation,Layer
C1,62.61,-71.065,90.0,top
C10,32.51,-51.28,0.0,top
C11,39.94,-62.14,90.0,bottom
C12,42.36,-63.0975,90.0,bottom
C13,45.64,-61.01,0.0,bottom
C14,45.64,-59.54,0.0,bottom
C15,38.47,-62.135,90.0,bottom
C16,38.44,-58.37,270.0,bottom
C17,42.77,-53.955,270.0,top
C18,37.35,-81.735,0.0,top
C19,62.17,-74.155,270.0,top
C2,67.31445,-71.97285,0.0,bottom
C20,53.47,-72.745,90.0,top
C21,31.345,-80.365,0.0,top
C22,30.56,-70.35,90.0,top
C23,47.35,-73.275,270.0,top
C24,31.34,-81.845,0.0,top
C25,53.91,-47.18,0.0,top
C26,47.865,-44.19,0.0,top
C27,42.238,-36.288,270.0,top
C28,64.39,-36.85,270.0,bottom
C29,47.86,-45.69,0.0,top
C3,60.41,-64.29,180.0,bottom
C30,108.45,-83.0,180.0,bottom
C31,112.13,-91.38,90.0,bottom
C32,108.1325,-78.145,180.0,top
C33,111.445,-84.47,0.0,bottom
C34,78.95,-37.25,0.0,bottom
C35,72.46,-36.24,0.0,bottom
C36,82.175,-37.8,0.0,bottom
C37,81.925,-36.15,180.0,bottom
C38,81.925,-40.15,0.0,bottom
C39,84.16,-40.905,270.0,bottom
C4,74.84,-51.875,90.0,bottom
C40,75.475,-40.55,0.0,bottom
C41,115.92,-63.3,0.0,top
C42,108.23,-56.73,0.0,bottom
C43,28.795,-83.13,0.0,bottom
C44,28.805,-93.58,180.0,bottom
C45,69.94,-90.22,270.0,bottom
C46,67.57,-63.725,270.0,bottom
C47,88.385,-87.57,180.0,bottom
C48,80.31,-77.28,0.0,bottom
C49,66.09,-63.72,270.0,bottom
C5,69.05,-63.73,270.0,bottom
C50,92.35,-87.9,0.0,bottom
C51,68.24,-56.91,90.0,bottom
C52,88.74,-68.06,0.0,bottom
C53,82.67,-68.08,0.0,bottom
C54,71.47,-56.92,270.0,bottom
C55,72.96,-56.92,270.0,bottom
C6,59.48,-49.53,270.0,bottom
C7,70.43,-50.15,180.0,bottom
C8,66.92,-48.89,0.0,bottom
C9,59.42,-56.385,270.0,bottom
D1,81.37,-57.69,180.0,top
D10,57.1825,-41.23,0.0,top
D2,59.89,-83.58,180.0,top
D3,84.23,-40.8925,270.0,top
